time_us,x,y,rz_rad,s0,s1,s2,s3
5684593.000000,246.000000,144.000000,0.719948,34.269489,193.843811,26.778399,-1.000000
5705516.000000,246.000000,144.000000,0.733038,34.640999,190.975327,26.899134,-1.000000
5719264.000000,246.000000,144.000000,0.746128,35.033947,188.228485,27.028952,-1.000000
5733459.000000,246.000000,144.000000,0.759218,35.449265,185.597290,27.167877,-1.000000
5754160.000000,246.000000,144.000000,0.772308,35.887970,183.075958,27.315968,-1.000000
5768035.000000,246.000000,144.000000,0.785398,36.351109,180.659409,27.473267,-1.000000
5788629.000000,246.000000,144.000000,0.798488,36.839729,178.342575,27.639822,-1.000000
5802601.000000,246.000000,144.000000,0.811578,37.355137,176.121033,27.815687,-1.000000
5816367.000000,246.000000,144.000000,0.824668,37.898579,173.990448,28.000933,-1.000000
5837331.000000,246.000000,144.000000,0.837758,38.471470,171.946793,28.195629,-1.000000
5851052.000000,246.000000,144.000000,0.850848,39.075256,169.986313,28.399834,-1.000000
5871870.000000,246.000000,144.000000,0.863937,39.711601,168.105469,28.613697,-1.000000
5885614.000000,246.000000,144.000000,0.877027,40.382206,166.301086,28.837263,-1.000000
5899723.000000,246.000000,144.000000,0.890117,41.088963,164.569962,29.070704,-1.000000
5920385.000000,246.000000,144.000000,0.903207,41.833866,162.909256,29.314106,-1.000000
5934482.000000,246.000000,144.000000,0.916297,42.619106,161.316101,29.567575,-1.000000
5955181.000000,246.000000,144.000000,0.929387,43.447109,159.788071,29.831251,-1.000000
5968947.000000,246.000000,144.000000,0.942477,44.320343,158.322662,30.105314,-1.000000
5982993.000000,246.000000,144.000000,0.955567,45.241665,156.917618,30.389898,-1.000000
6003645.000000,246.000000,144.000000,0.968657,46.214073,155.570755,30.685173,-1.000000
6017524.000000,246.000000,144.000000,0.981747,47.240910,154.280136,30.991358,-1.000000
6038356.000000,246.000000,144.000000,0.994837,48.325768,153.043747,31.308519,-1.000000
6052148.000000,246.000000,144.000000,1.007927,49.472553,151.859833,31.636963,-1.000000
6066236.000000,246.000000,144.000000,1.021017,50.685623,150.726685,31.976908,-1.000000
6087052.000000,246.000000,144.000000,1.034107,51.969719,149.642670,32.328518,192.940674
6100889.000000,246.000000,144.000000,1.047197,53.330112,148.606262,32.692055,182.034378
6121573.000000,246.000000,144.000000,1.060287,54.772549,147.616089,33.067730,172.171539
6135373.000000,246.000000,144.000000,1.073377,56.303356,146.670731,33.455887,163.209702
6149343.000000,246.000000,144.000000,1.086467,166.824295,145.768982,33.856724,155.031128
6170162.000000,246.000000,144.000000,1.099557,165.300705,144.909546,34.270535,147.538086
6183995.000000,246.000000,144.000000,1.112647,163.827148,-1.000000,34.697712,140.648178
6204797.000000,246.000000,144.000000,1.125737,162.402115,-1.000000,35.138466,134.309311
6218612.000000,246.000000,144.000000,1.138827,161.024170,-1.000000,35.593178,128.429260
6232588.000000,246.000000,144.000000,1.151917,159.692093,-1.000000,36.062229,122.972275
6253439.000000,246.000000,144.000000,1.165007,158.404480,-1.000000,36.545971,117.894722
6267242.000000,246.000000,144.000000,1.178097,157.160309,-1.000000,37.044849,113.158676
6288281.000000,246.000000,144.000000,1.191187,155.958298,-1.000000,37.559204,108.731079
6301844.000000,246.000000,144.000000,1.204277,154.797424,-1.000000,38.089466,104.583076
6315832.000000,246.000000,144.000000,1.217367,153.676666,-1.000000,38.636166,100.689240
6336630.000000,246.000000,144.000000,1.230457,152.595047,-1.000000,39.199749,97.027176
6350736.000000,246.000000,144.000000,1.243547,151.551605,-1.000000,39.780720,93.577057
6371333.000000,246.000000,144.000000,1.256637,150.545547,-1.000000,40.379620,90.321289
6385285.000000,246.000000,144.000000,1.269727,149.576019,-1.000000,40.996994,87.244118
6399081.000000,246.000000,144.000000,1.282817,148.642212,-1.000000,41.633499,84.331390
6420096.000000,246.000000,144.000000,1.295907,147.743408,-1.000000,42.289696,81.570648
6433763.000000,246.000000,144.000000,1.308997,146.878876,-1.000000,42.966267,78.950386
6454706.000000,246.000000,144.000000,1.322087,146.047974,-1.000000,43.663910,76.460403
6468341.000000,246.000000,144.000000,1.335177,145.250092,-1.000000,44.383324,74.091446
6482330.000000,246.000000,144.000000,1.348267,145.351837,-1.000000,45.125340,71.835098
6503149.000000,246.000000,144.000000,1.361357,-1.000000,-1.000000,45.890743,69.683678
6517191.000000,246.000000,144.000000,1.374447,-1.000000,-1.000000,46.680397,67.630257
6537812.000000,246.000000,144.000000,1.387537,-1.000000,-1.000000,47.495182,65.668480
6551959.000000,246.000000,144.000000,1.400627,-1.000000,-1.000000,48.336094,63.792496
6565709.000000,246.000000,144.000000,1.413718,-1.000000,-1.000000,49.204132,61.997032
