time,x,y,z,ax,ay,az,aw
1526153129.22,-1.62393546104,0.113969475031,4.17471647263,0.000529436858142,-0.225488709279,0.00215878399824,0.974243245466,
1526153129.33,-1.64196014404,0.111805662513,4.18676900864,-0.000501146526167,-0.226602607508,0.00150103165125,0.97398601326,
1526153129.43,-1.66232061386,0.113859795034,4.20434188843,-2.13864332576e-05,-0.229894585062,0.00210130303972,0.973213267392,
1526153129.53,-1.66988182068,0.10797829181,4.21753978729,-0.00181614931408,-0.230701323588,0.00144716390353,0.973021842824,
1526153129.62,-1.68267071247,0.106374710798,4.23249530792,-0.00212729540618,-0.233750719611,0.0020017654516,0.972292172462,
1526153129.73,-1.69925236702,0.108984343708,4.24871587753,-0.00213391537768,-0.234707964889,0.00132169246712,0.972062688695,
1526153129.84,-1.71214616299,0.107525132596,4.2636051178,-0.00246478014541,-0.237562293767,0.00181200466604,0.971367488687,
1526153129.94,-1.73614954948,0.108887501061,4.28007650375,-0.00245439748665,-0.238423461828,0.00131235830249,0.971157302654,
1526153130.04,-1.74897241592,0.107878506184,4.29397916794,-0.00266041917132,-0.241177837441,0.00173492719284,0.970475740513,
1526153130.14,-1.76878702641,0.110939435661,4.30461502075,-0.00226189085998,-0.242134962846,0.00112833501898,0.970239285165,
1526153130.23,-1.78212761879,0.109844446182,4.31835460663,-0.00246940797587,-0.244699021118,0.00160028581047,0.969594621568,
1526153130.33,-1.79953336716,0.110287934542,4.32940387726,-0.00271759775481,-0.245124191292,0.00129806814308,0.969487008951,
1526153130.43,-1.81239271164,0.109155423939,4.34242296219,-0.00298694066531,-0.247574370555,0.00178907797564,0.968862636512,
1526153130.54,-1.81993448734,0.11192856729,4.34567260742,-0.00298293111537,-0.247870466721,0.00132200850006,0.968787688889,
1526153130.64,-1.83280241489,0.110576324165,4.35770845413,-0.00344094214574,-0.250287772033,0.00174689713815,0.968163797835,
1526153130.74,-1.84162080288,0.11044088006,4.36166238785,-0.00329037632611,-0.250171274005,0.00112678648234,0.968195350866,
